cd_cidade;cidade;nome;favorabilidade;importancia;classificacaoAtor;tipoDocumento;tipoAtor;apelido
1301654;Guajará;Câmara Municipal de Guajará;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Guajará
1301704;Humaitá;Câmara Municipal de Humaitá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Humaitá
1301803;Ipixuna;Câmara Municipal de Ipixuna;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Ipixuna
1301852;Iranduba;Câmara Municipal de Iranduba;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Iranduba
1301902;Itacoatiara;Câmara Municipal de Itacoatiara;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Itacoatiara
1301951;Itamarati;Câmara Municipal de Itamarati;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Itamarati
1302009;Itapiranga;Câmara Municipal de Itapiranga;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Itapiranga
1302108;Japurá;Câmara Municipal de Japurá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Japurá
1302207;Juruá;Câmara Municipal de Juruá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Juruá
1302306;Jutaí;Câmara Municipal de Jutaí;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Jutaí
1302405;Lábrea;Câmara Municipal de Lábrea;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Lábrea
1302504;Manacapuru;Câmara Municipal de Manacapuru;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Manacapuru
1302553;Manaquiri;Câmara Municipal de Manaquiri;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Manaquiri
1302603;Manaus;Câmara Municipal de Manaus;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Manaus
1302702;Manicoré;Câmara Municipal de Manicoré;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Manicoré
1302801;Maraã;Câmara Municipal de Maraã;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Maraã
1302900;Maués;Câmara Municipal de Maués;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Maués
1303007;Nhamundá;Câmara Municipal de Nhamundá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Nhamundá
1303106;Nova Olinda do Norte;Câmara Municipal de Nova Olinda do Norte;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Nova Olinda do Norte
