cd_cidade;cidade;nome;favorabilidade;importancia;classificacaoAtor;tipoDocumento;tipoAtor;apelido
1303502;Pauini;Prefeitura de Pauini;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Pauini
1303536;Presidente Figueiredo;Prefeitura de Presidente Figueiredo;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Presidente Figueiredo
1303569;Rio Preto da Eva;Prefeitura de Rio Preto da Eva;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Rio Preto da Eva
1303601;Santa Isabel do Rio Negro;Prefeitura de Santa Isabel do Rio Negro;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Santa Isabel do Rio Negro
1303700;Santo Antônio do Içá;Prefeitura de Santo Antônio do Içá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Santo Antônio do Içá
1303809;São Gabriel da Cachoeira;Prefeitura de São Gabriel da Cachoeira;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de São Gabriel da Cachoeira
1303908;São Paulo de Olivença;Prefeitura de São Paulo de Olivença;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de São Paulo de Olivença
1303957;São Sebastião do Uatumã;Prefeitura de São Sebastião do Uatumã;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de São Sebastião do Uatumã
1304005;Silves;Prefeitura de Silves;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Silves
1304062;Tabatinga;Prefeitura de Tabatinga;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Tabatinga
1304104;Tapauá;Prefeitura de Tapauá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Tapauá
1304203;Tefé;Prefeitura de Tefé;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Tefé
1304237;Tonantins;Prefeitura de Tonantins;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Tonantins
1304260;Uarini;Prefeitura de Uarini;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Uarini
1304302;Urucará;Prefeitura de Urucará;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Urucará
1304401;Urucurituba;Prefeitura de Urucurituba;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Urucurituba
1400050;Alto Alegre;Prefeitura de Alto Alegre;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Alto Alegre
1400027;Amajari;Prefeitura de Amajari;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Amajari
1400100;Boa Vista;Prefeitura de Boa Vista;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Boa Vista
1400159;Bonfim;Prefeitura de Bonfim;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Bonfim
1400175;Cantá;Prefeitura de Cantá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Cantá
1400209;Caracaraí;Prefeitura de Caracaraí;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Caracaraí
1400233;Caroebe;Prefeitura de Caroebe;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Caroebe
1400282;Iracema;Prefeitura de Iracema;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Iracema
1400308;Mucajaí;Prefeitura de Mucajaí;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Mucajaí
1400407;Normandia;Prefeitura de Normandia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Normandia
1400456;Pacaraima;Prefeitura de Pacaraima;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Pacaraima
1400472;Rorainópolis;Prefeitura de Rorainópolis;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Rorainópolis
1400506;São João da Baliza;Prefeitura de São João da Baliza;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de São João da Baliza
1400605;São Luiz;Prefeitura de São Luiz;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de São Luiz
1400704;Uiramutã;Prefeitura de Uiramutã;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Uiramutã
1500107;Abaetetuba;Prefeitura de Abaetetuba;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Abaetetuba
1500131;Abel Figueiredo;Prefeitura de Abel Figueiredo;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Abel Figueiredo
1500206;Acará;Prefeitura de Acará;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Acará
1500305;Afuá;Prefeitura de Afuá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Afuá
1500347;Água Azul do Norte;Prefeitura de Água Azul do Norte;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Água Azul do Norte
1500404;Alenquer;Prefeitura de Alenquer;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Alenquer
1500503;Almeirim;Prefeitura de Almeirim;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Almeirim
1500602;Altamira;Prefeitura de Altamira;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Altamira
1500701;Anajás;Prefeitura de Anajás;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Anajás
1500800;Ananindeua;Prefeitura de Ananindeua;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Ananindeua
1500859;Anapu;Prefeitura de Anapu;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Anapu
